Cargo,Local,Empresa,Descricao,Link
Analista de Dados Power BI (remoto),"Belo Horizonte, MG",GeekHunter,"Coleta de dados, desenvolvimento de consultas e elaboração de relatórios e dashboards;Vivência na aplicação de modelos estatísticos em grandes volumes de dados…",https://tinyurl.com/y5xpujps
Analista de Engenharia de Dados,"São Paulo, SP",Pravaler,Desenvolvimento de melhorias e ferramentas para a área de dados do PRAVLAER.Vem fazer parte do nosso time de Business Intelligence como Analista de Engenharia…,https://tinyurl.com/yxv5bu3k
Analista Pl (Engenharia de Dados),"São Paulo, SP",GPA,Desenvolvimento de integrações de dados no ecossistema Hadoop;Organização e garantia da comunicação entre os dados do lake as demais aplicações da diretoria …,https://tinyurl.com/yyzor9ot
Analista Microsoft / Banco de Dados Joinville / SC,"Joinville, SC",Eiti Soluções,"Elaboração de scripts para automatização de rotinas de banco de dados implementação de estrategias de backup/restore, tunning e segurança de banco de dados;",https://tinyurl.com/y24yuohm
Analista de Dados Google Analytics Pleno,"São Paulo, SP",GeekHunter,Análise e inteligência de dados.Acompanhamento de KPIs de vendas e detecção de problemas e oportunidades para direcionamento de decisões estratégicas.,https://tinyurl.com/yxefy96n
Analista de Banco de Dados,"Sarzedo, MG",Grupo Selpe,"Experiência com atuação em análise de banco de dados, Business Intelligence e SQL Server 2003/2008;Levantar dados, definir processos e recursos necessários…",https://tinyurl.com/y652nkby
Analista de dados,"Joinville, SC",Becomex,Construção de ferramentas para apoio ao processo de gestão dos dados.Levantamento de análise de requisitos.Arquitetura e manutenção de soluções de BI.,https://tinyurl.com/y3mxlwpt
Analista de Banco de Dados - AMEnergia,"Sorocaba, SP",BURH,Profissional com experiência comprovada em Banco de Dados.,https://tinyurl.com/y3v6nwhk
Analista de Logística | Dados,"Porto Alegre, RS",Lojas Renner,"Seu papel será usar dados de modo a garantir melhor tomada de decisão para o negócio e criar forte relacionamento com nosso time de produto, operações de loja e…",https://tinyurl.com/yyjkpt24
Analista de Dados,"Campinas, SP",GeekHunter,"Criar a infraestrutura necessária para a extração, transformação e carregamento de dados de uma ampla variedade de fontes.O que você irá fazer?",https://tinyurl.com/y3xpvfbf
Analista II de Banco de Dados,"Salvador, BA",TOTVS,Efetuar mapeamento de estrutura de bancos de dados de aplicações;Fundamentos de banco de dados relacional - intermediário;Vem fazer parte de tudo isso!,https://tinyurl.com/y3fq37we
Analista de Dados Sênior (People Analytics),"São Paulo, SP",TOTVS,Atuar em problemas e melhorias de dados de RH de complexidade média garantindo o padrão de qualidade de entrega do projeto.Plano de saúde e odontológico;,https://tinyurl.com/y2bltrnj
1924 - Analista Automação de Banco de Dados,"Brasília, DF",GLOBAL HITSS,"Acreditamos no desenvolvimento de pessoas, no empoderamento como meio de superação de limites e promoção de resultados.Analisar e elaborar casos de uso;",https://tinyurl.com/y6kvqw98
Analista de Suporte em Administração de Banco de Dados (SCA),"Fortaleza, CE",Lanlink Informática,Realizar as atividades listadas no nível SCM de administração de dados;Executar análise e fornecer suporte a criação e manutenção de base de dados conforme…,https://tinyurl.com/y5khbkde
Analista de Dados,"Vila Velha, ES",Autoglass,"Experiência como Analytics ou Cientista de Dados, gestão de dados;Buscamos um profissional para apoiar as áreas de análises de dados e indicadores.",https://tinyurl.com/yyxz8xnz
Analista em Ciência de Dados,"São Paulo, SP",Jüssi,"Realizar a preparação de dados (DataPrep);Junto à área de Engenharia de Dados, auxiliar no ciclo de vida dos modelos (MLOps);Local de trabalho: Itaim Bibi-SP.",https://tinyurl.com/y352dw3a
Analista de Banco de Dados,"Ribeirão Preto, SP",DVI Franchising,Exeriência em funções de administração de banco MSSQL - Conhecimento que permita desenvolver integrações tanto para disponibilizar como para consolidar dados…,https://tinyurl.com/yynx25v6
Analista de Banco de Dados Sr,"Curitiba, PR",Vivo (Telefônica Brasil),"Atuar como novas tecnologias de banco de dados NoSQL, sendo o conhecimento em outras tecnologias de banco de dados um diferencial.",https://tinyurl.com/yy8a34xa
Analista de Engenharia de Dados Sr,"Barueri, SP",C&A,Desenvolver fluxos de tratamento de dados utilizando Python;Experiência em tratamento de dados utilizando Python;A C&A é muito eu.,https://tinyurl.com/y2h99neq
Analistas de Dados,"Rio de Janeiro, RJ",None,"Experiência em manipulação de dados, data mining, processos de enriquecimento, conversão, taxonomia e informações sobre massas de dados e correções;",https://tinyurl.com/y6r5vac9
Analista de Dados Pleno,"Brasília, DF",Klickpages,"Conhecimento em extração e analise de dados.Será responsável pela criação e gestão de dados em massa, Dashboards, gestão e criação de KPIs com métricas de SaaS…",https://tinyurl.com/y57xnry5
ANALISTA DE DADOS,"Fortaleza, CE",O Povo,"Requisitos: Superior Completo na área de Tecnologia da Informação; Conhecimento em Python, Linguagem R, SQL, Ferramenta de visualização de dados e Gráficos.",https://tinyurl.com/y453ftok
